descriptor;order_num;color_code
celery_5;238;#D3D3D3
carrot_5;239;#D3D3D3
galangal_5;240;#D3D3D3
ginger_5;241;#D3D3D3
garlic_5;242;#D3D3D3
radish_5;243;#D3D3D3
jicama_5;244;#D3D3D3
kohlrabi_5;245;#D3D3D3
asparagus_5;246;#D3D3D3
grass_5;247;#D3D3D3
hay_5;248;#D3D3D3
hops_5;249;#D3D3D3
hearts of palm_5;250;#D3D3D3
leek_5;251;#D3D3D3
onion_5;252;#D3D3D3
lemon grass_5;253;#D3D3D3
nasturtium leaf_5;254;#D3D3D3
rhubarb_5;255;#D3D3D3
sunchoke_5;256;#D3D3D3
sweet potato_5;257;#D3D3D3
potato_5;258;#D3D3D3
cassava_5;259;#D3D3D3
taro_5;260;#D3D3D3
watercress_5;261;#D3D3D3
yuca_5;262;#D3D3D3
beet_5;263;#D3D3D3
basil_5;264;#D3D3D3
bay leaf_5;265;#D3D3D3
borage leaf_5;266;#D3D3D3
cannabis leaf_5;267;#D3D3D3
chive stem_5;268;#D3D3D3
cilantro_5;269;#D3D3D3
curry plant_5;270;#D3D3D3
dill_5;271;#D3D3D3
hing powder_5;272;#D3D3D3
laurel_5;273;#D3D3D3
lemon balm_5;274;#D3D3D3
lime leaf_5;275;#D3D3D3
tarragon_5;276;#D3D3D3
mushroom plant_5;277;#D3D3D3
parsley_5;278;#D3D3D3
thyme_5;279;#D3D3D3
marjoram_5;280;#D3D3D3
oregano_5;281;#D3D3D3
rosemary_5;282;#D3D3D3
mint_5;283;#D3D3D3
sage_5;284;#D3D3D3
saffron_5;285;#D3D3D3
garlic powder_5;286;#D3D3D3
anise_5;287;#D3D3D3
cardamom_5;288;#D3D3D3
cinnamon_5;289;#D3D3D3
cloves_5;290;#D3D3D3
licorice_5;291;#D3D3D3
nutmeg_5;292;#D3D3D3
spice_5;293;#D3D3D3
turmeric_5;294;#D3D3D3
infusion_5;295;#D3D3D3
tea_5;296;#D3D3D3
kombucha_5;297;#D3D3D3
artichoke_5;298;#D3D3D3
broccoli_5;299;#D3D3D3
cauliflower_5;300;#D3D3D3
brussel sprout_5;301;#D3D3D3
cabbage_5;302;#D3D3D3
chive blossom_5;303;#D3D3D3
dill flower_5;304;#D3D3D3
flower_5;305;#D3D3D3
lavender_5;306;#D3D3D3
marigold_5;307;#D3D3D3
nasturtium_5;308;#D3D3D3
pumpkin blossom_5;309;#D3D3D3
borage flower_5;310;#D3D3D3
rose_5;311;#D3D3D3
squash blossom_5;312;#D3D3D3
cactus_5;313;#D3D3D3
sugarcane_5;314;#D3D3D3
sugar_5;315;#D3D3D3
soda_5;316;#D3D3D3
artificial sweetener_5;317;#D3D3D3
vanilla bean_5;318;#D3D3D3
orange leaf_5;319;#D3D3D3
corn husk_5;320;#D3D3D3
langostino_5;321;#D3D3D3
shrimp_5;322;#D3D3D3
squid_5;323;#D3D3D3
ahi tuna_5;324;#D3D3D3
anchovy_5;325;#D3D3D3
bonito_5;326;#D3D3D3
bony fish_5;327;#D3D3D3
butterfish_5;328;#D3D3D3
cod_5;329;#D3D3D3
fish_undetermined_5;330;#D3D3D3
herring_5;331;#D3D3D3
mackerel_5;332;#D3D3D3
rock fish_5;333;#D3D3D3
sardine_5;334;#D3D3D3
silversides_5;335;#D3D3D3
smelt_5;336;#D3D3D3
salmon_5;337;#D3D3D3
trout_5;338;#D3D3D3
octopus_5;339;#D3D3D3
beef_5;340;#D3D3D3
veal_5;341;#D3D3D3
lamb_5;342;#D3D3D3
bison_5;343;#D3D3D3
pig_5;344;#D3D3D3
meat_undetermined_5;345;#D3D3D3
horse_5;346;#D3D3D3
rat_5;347;#D3D3D3
mouse_5;348;#D3D3D3
chicken_5;349;#D3D3D3
turkey_5;350;#D3D3D3
duck_5;351;#D3D3D3
rabbit_5;352;#D3D3D3
elk_5;353;#D3D3D3
buffalo_5;354;#D3D3D3
ostrich_5;355;#D3D3D3
lizard_5;356;#D3D3D3
egg_salmon_5;357;#D3D3D3
egg_chicken_5;358;#D3D3D3
egg_quail_5;359;#D3D3D3
milk_5;360;#D3D3D3
milk_cow_5;361;#D3D3D3
milk_goat_5;362;#D3D3D3
butter_5;363;#D3D3D3
cream_5;364;#D3D3D3
sour cream_5;365;#D3D3D3
ice cream_5;366;#D3D3D3
american cheese_5;367;#D3D3D3
bloomy cheese_5;368;#D3D3D3
blue cheese_5;369;#D3D3D3
boschetto cheese_5;370;#D3D3D3
brie cheese_5;371;#D3D3D3
cheddar cheese_5;372;#D3D3D3
cheese_5;373;#D3D3D3
cream cheese_5;374;#D3D3D3
dubliner cheese_5;375;#D3D3D3
feta cheese_5;376;#D3D3D3
goat cheese_5;377;#D3D3D3
gouda cheese_5;378;#D3D3D3
havarti cheese_5;379;#D3D3D3
Iberico cheese_5;380;#D3D3D3
jack cheese_5;381;#D3D3D3
manchego cheese_5;382;#D3D3D3
midnight moon cheese_5;383;#D3D3D3
mozzarella cheese_5;384;#D3D3D3
natural cheese_5;385;#D3D3D3
not collected_5;386;#D3D3D3
parmesan cheese_5;387;#D3D3D3
pecorino cheese_5;388;#D3D3D3
petit basque cheese_5;389;#D3D3D3
provolone_5;390;#D3D3D3
raclette cheese_5;391;#D3D3D3
ricotta cheese_5;392;#D3D3D3
